name,badge,discount,price,old_price,product_url,Link
HEAD GRAVITY MOTION 2024,Out of stock,30,139.95,199.95,https://www.padelnuestro.com/int/head-gravity-motion-2024-113827-p,Clickme
HEAD EXTREME PRO ARTURO COELLO 2024,Out of stock,25,239.95,319.95,https://www.padelnuestro.com/int/head-extreme-pro-arturo-coello-2024-112801-p,Clickme
HEAD SPEED MOTION ARI SÁNCHEZ 2024,Out of stock,40,155.95,259.95,https://www.padelnuestro.com/int/head-speed-motion-ari-sanchez-2024-112802-p,Clickme
HEAD EXTREME MOTION PAULA JOSEMARIA 2024,Out of stock,40,155.95,259.95,https://www.padelnuestro.com/int/head-extreme-motion-paula-josemaria-2024-112800-p,Clickme
HEAD GRAPHENE 360 ALPHA ULTIMATE PADEL RACKET,Out of stock,58,99.95,239.95,https://www.padelnuestro.com/int/head-graphene-360-alpha-ultimate-padel-racket-29558-p,Clickme
HEAD GRAPHENE TOUCH EXPLOSION,Out of stock,50,99.95,199.95,https://www.padelnuestro.com/int/head-graphene-touch-explosion-30330-p,Clickme
HEAD ULTIMATE POWER II WITH CB ORANGE,Out of stock,58,74.95,179.95,https://www.padelnuestro.com/int/head-ultimate-power-ii-with-cb-orange-29569-p,Clickme
LOK MAXX FLOW 2024,,42,174.95,300,https://www.padelnuestro.com/int/lok-maxx-flow-2024-112982-p,Clickme
LOK CARB-ON FLOW 2024,,42,144.95,249.95,https://www.padelnuestro.com/int/lok-carb-on-flow-2024-112978-p,Clickme
LOK CARB-ON HYPE 2024,,42,144.95,249.95,https://www.padelnuestro.com/int/lok-carb-on-hype-2024-112979-p,Clickme
LOK EASY HYPE 2024,,42,104.95,180,https://www.padelnuestro.com/int/lok-easy-hype-2024-112981-p,Clickme
LOK EASY FLOW 2024,,42,104.95,180,https://www.padelnuestro.com/int/lok-easy-flow-2024-112980-p,Clickme
LOK BE FLOW 2024,,41,64.95,110,https://www.padelnuestro.com/int/lok-be-flow-2024-112976-p,Clickme
LOK BE HYPE 2024,,41,64.95,110,https://www.padelnuestro.com/int/lok-be-hype-2024-112977-p,Clickme
LOK MAXX HYPE 2024,Out of stock,27,219.95,300,https://www.padelnuestro.com/int/lok-maxx-hype-2024-112983-p,Clickme
SIUX ELECTRA ST3 GO,,47,99.95,189,https://www.padelnuestro.com/int/109474-p,Clickme
SIUX FENIX GO 4,,43,99.95,174.99,https://www.padelnuestro.com/int/siux-fenix-go-4-109478-p,Clickme
SIUX DIABLO GO 3,,47,99.95,189,https://www.padelnuestro.com/int/siux-diablo-go-3-109470-p,Clickme
SIUX PEGASUS REVOLUTION 3K 2023,,44,179.95,320,https://www.padelnuestro.com/int/siux-pegasus-revolution-3k-2023-28747-p,Clickme
SIUX BLACK CARBON REVOLUTION 3K,,23,229.95,299,https://www.padelnuestro.com/int/siux-black-carbon-revolution-3k-24395-p,Clickme
SIUX TRILOGY II CONTROL 24K PATTY LLAGUNO 2023,,66,119.95,350,https://www.padelnuestro.com/int/siux-trilogy-ii-control-24k-patty-llaguno-2023-28753-p,Clickme
SIUX FENIX PRO 5 2025,,11,289.95,324.95,https://www.padelnuestro.com/int/siux-fenix-pro-5-2025,Clickme
SIUX DIABLO PRO 4 2025,,11,289.95,324.95,https://www.padelnuestro.com/int/siux-diablo-pro-4-2025,Clickme
SIUX ELECTRA STUPA PRO ST4 2025,,23,249.95,324.95,https://www.padelnuestro.com/int/siux-electra-stupa-pro-st4-2025,Clickme
SIUX VALKIRIA PRO 2025,,10,292.95,324.99,https://www.padelnuestro.com/int/siux-valkiria-pro-2025,Clickme
SIUX TRILOGY PRO 5 2025,,11,289.95,324.95,https://www.padelnuestro.com/int/siux-trilogy-pro-5-2025,Clickme
SIUX PEGASUS REVOLUTION 2,Exclusive,54,159.95,349.94,https://www.padelnuestro.com/int/siux-pegasus-revolution-2-109481-p,Clickme
SIUX ELECTRA 4 FLOW,Exclusive,0,279,,https://www.padelnuestro.com/int/siux-electra-4-flow,Clickme
SIUX TRILOGY ELITE 5,,21,179.95,229,https://www.padelnuestro.com/int/siux-trilogy-elite-5,Clickme
SIUX DIABLO ELITE 4 2025,,10,206.95,229,https://www.padelnuestro.com/int/siux-diablo-elite-4-2025,Clickme
SIUX BLACK CARBON REVOLUTION 2 ORANGE,,0,229.95,,https://www.padelnuestro.com/int/siux-black-carbon-revolution-2-24394-p,Clickme
SIUX EVOQUE 3,,55,89.95,199.95,https://www.padelnuestro.com/int/28779-p,Clickme
SIUX VIKING IV,,54,59.95,129.95,https://www.padelnuestro.com/int/siux-viking-iv-28784-p,Clickme
SIUX GEA,,18,159.95,194.95,https://www.padelnuestro.com/int/siux-gea,Clickme
SIUX FENIX III JAVI RUIZ PRO,,63,129.95,350,https://www.padelnuestro.com/int/siux-fenix-iii-javi-ruiz-pro-28751-p,Clickme
