name,badge,discount,old_price,price,product_url,category,brand
BULLPADEL VERTEX 03 2023,Out of stock,57,349.95,149.95,https://www.padelnuestro.com/int/bullpadel-vertex-03-2023-32424-p,padel-rackets,Bullpadel
PACK BULLPADEL VERTEX04 MANTÍN DI NENNO 2024,Out of stock,0,,199.95,https://www.padelnuestro.com/int/pack-bullpadel-vertex04-mantin-di-nenno-2024,padel-rackets,Bullpadel
BULLPADEL INDIGA CONTROL 2025,Out of stock,19,79.94,64.95,https://www.padelnuestro.com/int/bullpadel-indiga-control-2025,padel-rackets,Bullpadel
Bullpadel Vertex 04 Master Final 2023,Out of stock,46,349.94,189.95,https://www.padelnuestro.com/int/bullpadel-vertex-04-master-final-2023-111380-p,padel-rackets,Bullpadel
Bullpadel Hack 03 Master Final 23,Out of stock,49,349.94,178.95,https://www.padelnuestro.com/int/bullpadel-hack-03-master-final-23-111378-p,padel-rackets,Bullpadel
BULLPADEL GOLD XSERIES 3.0,Out of stock,75,239.96,59.95,https://www.padelnuestro.com/int/bullpadel-gold-xseries-3-0-24563-p,padel-rackets,Bullpadel
BULLPADEL INDIGA POWER 2025,Out of stock,19,79.95,64.95,https://www.padelnuestro.com/int/bullpadel-indiga-power-2025,padel-rackets,Bullpadel
BULLPADEL INDIGA GIRL 2025,Out of stock,17,59.95,49.95,https://www.padelnuestro.com/int/bullpadel-indiga-girl-2025,padel-rackets,Bullpadel
BULLPADEL VERTEX 04 W TF 2024 WOMAN,Out of stock,33,300,199.95,https://www.padelnuestro.com/int/bullpadel-vertex-04-w-tf-2024-mujer,padel-rackets,Bullpadel
BULLPADEL HACK 03 HYBRID 24,Out of stock,45,289.95,159.95,https://www.padelnuestro.com/int/bullpadel-hack-03-hybrid-24-110863-p,padel-rackets,Bullpadel
BULLPADEL INDIGA BOY 2025,Out of stock,17,59.95,49.95,https://www.padelnuestro.com/int/bullpadel-indiga-boy-2025,padel-rackets,Bullpadel
BULLPADEL INDIGA POWER 2022 PADEL RACKET,Out of stock,38,79.95,49.95,https://www.padelnuestro.com/int/bullpadel-indiga-power-2022-padel-racket-26122-p,padel-rackets,Bullpadel
BULLPADEL ELITE W 24,Out of stock,42,277.95,159.95,https://www.padelnuestro.com/int/bullpadel-elite-w-24-110859-p,padel-rackets,Bullpadel
BULLPADEL FLOW TF 24,Out of stock,39,300,181.95,https://www.padelnuestro.com/int/bullpadel-flow-tf-24,padel-rackets,Bullpadel
BULLPADEL HACK 02 PRF 2024,Out of stock,43,139.95,79.95,https://www.padelnuestro.com/int/bullpadel-hack-02-prf-2024-110909-p,padel-rackets,Bullpadel
BULLPADEL K2 POWER 2023,Out of stock,50,99.95,49.95,https://www.padelnuestro.com/int/bullpadel-k2-power-2023-32434-p,padel-rackets,Bullpadel
BULLPADEL RAIDER CONTROL,Out of stock,41,99.95,58.95,https://www.padelnuestro.com/int/bullpadel-raider-control-21725-p,padel-rackets,Bullpadel
BULLPADEL ELITE W WOMAN 2023,Out of stock,61,279.95,109.95,https://www.padelnuestro.com/int/bullpadel-elite-w-woman-2023-32429-p,padel-rackets,Bullpadel
BULLPADEL VERTEX 03 W WOMEN'S 2023,Out of stock,71,259.95,74.95,https://www.padelnuestro.com/int/bullpadel-vertex-03-w-women-s-2023-32427-p,padel-rackets,Bullpadel
HEAD COELLO PRO 2025,,14,350,299.95,https://www.padelnuestro.com/int/head-coello-pro-2025,padel-rackets,Head
