name,badge,discount,old_price,price,product_url,brand
Wilson Pro Staff Team V14.0 Racket,Sale,31,180,123.9,https://www.tenniswarehouse-europe.com/Wilson_Pro_Staff_Team_V140_Racket/descpageRCWILSON-97TV14-EN.html,Wilson
Wilson Pro Staff Precision 100 Racket,Sale,42,130,75,https://www.tenniswarehouse-europe.com/Wilson_Pro_Staff_Precision_100_Racket/descpageRCWILSON-PRSP10-EN.html,Wilson
Wilson Ultra 100 V4.0 Racket,Reduced,22,250,193.9,https://www.tenniswarehouse-europe.com/Wilson_Ultra_100_V40_Racket/descpageRCWILSON-WU10V4-EN.html,Wilson
Wilson Ultra 100L V4.0 Racket,Reduced,31,220,149.9,https://www.tenniswarehouse-europe.com/Wilson_Ultra_100L_V40_Racket/descpageRCWILSON-WU1LV4-EN.html,Wilson
Wilson Ultra 100UL V4.0 Racket,Sale,30,200,138.9,https://www.tenniswarehouse-europe.com/Wilson_Ultra_100UL_V40_Racket/descpageRCWILSON-WUULV4-EN.html,Wilson
Wilson Ultra Team V4.0 Racket,Sale,20,150,119.9,https://www.tenniswarehouse-europe.com/Wilson_Ultra_Team_V40_Racket/descpageRCWILSON-WUTEV4-EN.html,Wilson
Wilson Blade 98 V9 16x19 Roland Garros (2025) Racket,New,,280,248.91,https://www.tenniswarehouse-europe.com/Wilson_Blade_98_V9_16x19_Roland_Garros_2025_Racket/descpageRCWILSON-WBRG25-EN.html,Wilson
Wilson Clash 100 V3.0 Roland Garros Racket (2025),New,,250,224.9,https://www.tenniswarehouse-europe.com/Wilson_Clash_100_V30_Roland_Garros_Racket_2025/descpageRCWILSON-WC13RG-EN.html,Wilson
Wilson Shift 99 V1 RG Night Session Racket,New,,270,188.9,https://www.tenniswarehouse-europe.com/Wilson_Shift_99_V1_RG_Night_Session_Racket/descpageRCWILSON-WS99RG-EN.html,Wilson
Wilson Roland Garros Triumph 2025 Racket (Pre Strung),New,,90,71.9,https://www.tenniswarehouse-europe.com/Wilson_Roland_Garros_Triumph_2025_Racket_Pre_Strung/descpageRCWILSON-WRGT25-EN.html,Wilson
Wilson Roland Garros Equipe HP 2025 Racket (Pre strung),New,,115,75,https://www.tenniswarehouse-europe.com/Wilson_Roland_Garros_Equipe_HP_2025_Racket_Pre_strung/descpageRCWILSON-WRGE25-EN.html,Wilson
Wilson Roland Garros Team 102 2025 Racket (Pre-Strung),New,,145,115.92,https://www.tenniswarehouse-europe.com/Wilson_Roland_Garros_Team_102_2025_Racket_Pre-Strung/descpageRCWILSON-WRG102-EN.html,Wilson
Wilson Roland Garros Team 102 Racket (Pre-Strung),Sale,17,145,119.9,https://www.tenniswarehouse-europe.com/Wilson_Roland_Garros_Team_102_Racket_Pre-Strung/descpageRCWILSON-RGT102-EN.html,Wilson
Wilson Roland Garros Triumph Racket (Pre Strung),Sale,16,90,74.9,https://www.tenniswarehouse-europe.com/Wilson_Roland_Garros_Triumph_Racket_Pre_Strung/descpageRCWILSON-RGTRP-EN.html,Wilson
Wilson Burn 100 V5 Racket,Sale,40,200,119.9,https://www.tenniswarehouse-europe.com/Wilson_Burn_100_V5_Racket/descpageRCWILSON-BRN1V5-EN.html,Wilson
Wilson Burn 100 LS V5 Racket,Sale,33,180,118.9,https://www.tenniswarehouse-europe.com/Wilson_Burn_100_LS_V5_Racket/descpageRCWILSON-BRNLS5-EN.html,Wilson
Wilson Burn 100 ULS V5 Racket,Sale,31,160,109.9,https://www.tenniswarehouse-europe.com/Wilson_Burn_100_ULS_V5_Racket/descpageRCWILSON-BRULS5-EN.html,Wilson
Wilson Six LV Racket (Pre Strung),Sale,33,150,99.89,https://www.tenniswarehouse-europe.com/Wilson_Six_LV_Racket_Pre_Strung/descpageRCWILSON-WR6LV-EN.html,Wilson
Wilson Six.One Racket (Pre Strung),Sale,14,140,119.9,https://www.tenniswarehouse-europe.com/Wilson_SixOne_Racket_Pre_Strung/descpageRCWILSON-WSXOR-EN.html,Wilson
Wilson Six.One 102 Lite Racket (Pre Strung),Sale,33,150,99.89,https://www.tenniswarehouse-europe.com/Wilson_SixOne_102_Lite_Racket_Pre_Strung/descpageRCWILSON-W102LWR-EN.html,Wilson
Wilson Clash 26 V3.0 Junior Racket,New,,,112.9,https://www.tenniswarehouse-europe.com/Wilson_Clash_26_V30_Junior_Racket/descpageRCWILSON-WC26V3-EN.html,Wilson
"Wilson Blade v9 26"" Junior Racket",,,125,109.9,https://www.tenniswarehouse-europe.com/Wilson_Blade_v9_26_Junior_Racket/descpageRCWILSON-WB26J-EN.html,Wilson
"Wilson Pro Staff v14 26"" Junior Racket",Sale,25,125,92.9,https://www.tenniswarehouse-europe.com/Wilson_Pro_Staff_v14_26_Junior_Racket/descpageRCWILSON-PSJU26-EN.html,Wilson
Wilson Burn Spin 26 Junior Racket,New,,85,67.9,https://www.tenniswarehouse-europe.com/Wilson_Burn_Spin_26_Junior_Racket/descpageRCWILSON-WJRB26-EN.html,Wilson
Wilson Blade Feel Comp Junior 26 Racket,Sale,15,65,54.89,https://www.tenniswarehouse-europe.com/Wilson_Blade_Feel_Comp_Junior_26_Racket/descpageRCWILSON-WFCJ26-EN.html,Wilson
"Wilson Blade 25"" v9 Junior Racket",Reduced,12,125,109.9,https://www.tenniswarehouse-europe.com/Wilson_Blade_25_v9_Junior_Racket/descpageRCWILSON-WB25J-EN.html,Wilson
"Wilson Pro Staff v14 25"" Junior Racket",Sale,25,125,92.9,https://www.tenniswarehouse-europe.com/Wilson_Pro_Staff_v14_25_Junior_Racket/descpageRCWILSON-PSJU25-EN.html,Wilson
Wilson Ultra 25 V4.0 Junior Racket,Sale,16,120,99.89,https://www.tenniswarehouse-europe.com/Wilson_Ultra_25_V40_Junior_Racket/descpageRCWILSON-WU254R-EN.html,Wilson
